difficulty,question,related,random,answers
3,hilarious,"fatuous, bizare, illogical, un-ironic, crazy, bad-taste, remarkable, obsurd, rediculous, all-too-obvious","outraged, headlong, adore, omit, inexplicit, maddened, noticeable, effective, securest, uprisings","comical, funny, amusing"
6,hindrance,"vitiate, embarrassment, dissatisfactory, disruption, interfere, non-comprehension, afflictive, exent, feared, irremediable","reappear, repropose, incredulousness, stanzaic, epiphanic, characteristically, heretic, spasmodic, fabulous, precise","obstacle, impediment, detterent"
3,historic,"strategic, pre-political, unequivical, unique, currrent, chonological, urbanistic, ecological, politically-based, macro-historical","diagonal, preception, refine, customise, ameliorate, previously, midcoast, ask, flavourful, shepherds","famous, memorable"
3,history,"medieaval, phylosophy, anthropology, power-politics, poltics, proir, post-1970s, pre-european, tradtion, pastings","simplicity, atomize, amused, exonerate, consulted, implicature, parachurch, rearranged, exceded, tangibility","account, chronicle"
3,hostile,"vehement, far-less, ill-at-ease, biased, compassionless, accusatory, recriminatory, non-co-operative, discourteous, un-friendly","sincere, estimated, confine, populist, quaterly, breed, emotion, painfull, familiarising, apointment","antagonistic, unsympathetic, belligerent, combative, unfriendly"
3,huddle,"stroll, traipses, around, warmups, mumble, stand, arm-in-arm, squirmy, congregating, backfields","playfulness, tailpipes, equation, unitiated, estimated, framework, esssential, disagreeably, astound, detachment","crouch, hunker"
1,huge,"ridiculous, full, dreadfull, not-so-little, smaller-size, gynormous, doubful, massivley, monumental, ever-narrowing","unrepentent, lightless, restrain, lush, cancell, intervene, introverted, quantify, exultation, coax","big, vast, immense, enormous, gigantic, massive"
6,hypocrisy,"self-centeredness, hardheadedness, peevishness, superficiality, insensitivity, unjustness, wimpiness, nefariousness, mistruth, miserliness","steepen, unneeded, separationist, egregious, handsome, retracted, reversal, distasteful, unportable, methodical","duplicity, deceitfulness, disingenuousness, dishonesty"
3,hypothesis,"proposes, covariation, theoretic, primordialism, efficient-market, behavioralist, model-theoretic, paradoxon, inductivism, positing","thoughtfulness, chorismate, homogenize, gurned, disparate, certainty, blurry, careless, abjures, unsellable","surmise, speculation, conjecture, guess"
5,hypothetical,"over-general, not-so-positive, superpotential, chimerical, assertional, metaphorical, empirical, non-psychological, demagogical, law-like","goslings, wester, admit, draconian, instance, inspire, industrialization, augmentees, facts, excessive","theoric, supposed, conjectural, putative"
6,iconoclast,"constitutionalist, malcontent, zealous, cultist, heretical, crazed, anti-politician, separationist, situationist, totalist","subcircular, incompetent, expostulate, frontality, viable, overview, characterless, compelling, trembled, dynamic","heretic, dissident, rebel"
3,identify,"mis-identifying, organize, descriminate, prove, connect, regionalize, factorize, reflect, tell, re-analyse","ludicrousness, multiobjective, all, eat, documents, constrained, perish, rehaul, hobbiest, market","distinguish, recognize, discover, describe, determine"
1,ignore,"mis-apply, temporize, apprecate, misjudge, criticise, re-summarize, signore, obliterate, chooose, disbelieve","propertly, unsatisfied, trite, happiness, preselected, militiamen, scarcity, discomforted, penetrable, paradoxon","overlook, disregard, snub, neglect, discount, downplay, dismiss, omit"
3,illegible,"inefficient, overwritten, uncomplete, unstandardised, unsellable, blurry, unsatisfactory, ignorable, un-editable, unprocessable","ampersand, emphasize, disruptive, reinspect, converging, reactivate, big, microclimate, regularize, undertake",unreadable
5,illicit,"cocaine-trafficking, un-authorized, cocaïne, marijuana-related, bootlegging, non-narcotic, difficult-to-obtain, non-authorized, cocaine-fueled, risk-laden","stodgy, transdimensional, elicit, inexplicit, condemn, outdated, corrected, deallocate, time, designate","surreptitious, unlawful, unauthorised, clandestine"
3,immigrate,"urbanise, pro-migrant, expatriating, nonimmigrant, re-unite, pre-migration, illegalize, militarize, reenter, brits","misattributes, disconfirmation, uncontentious, frustration, earsplitting, shake, challenges, westward, disingenious, critically","naturalize, arrive"
4,imminent,"ignominous, widely-anticipated, irruption, preëmptive, much-feared, upcoming, devasting, world-ending, devastation, unconceivable","good, pristine, recognise, pseudonymous, underline, disinvited, presumptous, demerge, stress, emigrate","impending, looming"
4,impartial,"practical, trustable, counter-balancing, uninfluenced, authorative, succcessful, neutal, sensible, crtical, concise","residents, obfuscatory, reinforce, gruelling, inactive, superstructure, epitomizes, subteam, eyebrow, remarked","unbiased, unprejudiced"
4,impel,"heimpel, overexert, infere, confute, demotivate, actuate, potentiate, presssure, inspirers, discourage","thwacks, unhappier, proliferate, coziness, recompose, overwhelmingly, furor, sheepish, professsional, raffish","force, induce, compell"
4,imperative,"non-ethical, expansionistic, appropriative, non-grammatical, presentative, solidaristic, politico-social, fundamentalistic, conservational, self-evident","acculturate, giddiness, symbolise, solvolysis, appam, rationalistic, hold, condolence, explore, opinionate","crucial, necessary, critical, vital, essential"
5,impetuous,"libidinous, spiteful, conceited, over-enthusiasm, ill-willed, hard-driven, over-dramatic, over-earnest, petulance, factious","wholesale, falcon, locate, overexuberant, resisting, hardworking, especially, ancestry, springlike, dominant","reckless, hotheaded"
5,implausible,"untestable, absurb, compelling, vague, possible, expectable, non-speculative, inconsequential, off-the-wall, incredulous","alter, flagrant, definative, dissatisfactory, undesirable, misattribute, hasting, stabilise, unseparated, intepret","farfetched, ludicrous, preposterous, absurd, fanciful"
5,implication,"logic, causality, disproval, exent, inescapable, unworkability, negativeness, unimportance, indetermination, moralization","impeded, concluded, ethnocentric, supportive, include, purport, genuine, seduce, whir, durst","consequence, inference"
5,imply,"specficially, necesarilly, contray, instrinsically, arrise, conceivably, misattribute, pretent, infered, dicate","unpredictable, mollifying, unitiated, exacting, fascinate, countermarch, disorganize, monopolise, detemine, decapitate","signify, suggest, mean, indicate, insinuate, infer"
1,important,"once-important, practial, non-evident, relevants, interisting, widely-acknowledged, very, incredibley, common, extraodinary","despotism, description, impermanent, miserly, clichéd, burst, requite, sociometric, inspirers, overreact","crucial, critical, vitally, valuable, vital, essential"
6,impute,"discomfit, exuse, correctitude, prejudgement, intuit, personall, debase, confound, intent, over-estimates","fulfill, unhook, popish, discontinue, cupidity, explaine, glean, meanigful, prognosticating, nutjob","assign, ascribe"
5,incentive,"deterrent, clawback, full-cost, anti-innovation, pay-back, monetary, vitalization, kind, innovation, risk-sharing","absorb, remilitarize, lamentably, identify, incorrrect, maximal, tradtion, activistic, unforgotten, mope","reward, bonus, inducement, benefit, motivator"
6,incessant,"shriller, unflagging, petulant, vexatious, spate, days-long, onrush, omnipresent, fulminations, denunciations","subsequent, nutter, trite, predisposition, officialize, necessarily, happiness, deregulate, focussing, guileful","unremitting, unceasing, perpetual, ceaseless"
6,incidental,"heat-of-the-moment, non-importance, non-mechanical, chemical-related, repetive, mere, objectional, fortuitous, non-work-related, interruption","obstrusive, drier, peen, defy, directionless, bashed, involve, sooon, excessiveness, embarass","accidential, nonessential, tangential, accompanying, random"
6,incite,"immolate, pre-empt, evoke, disorientate, annoy, annihilate, enage, ameliorate, repress, rase","withdrawable, marvel, quickfix, supportive, problematize, plausible, censure, describes, disqualifed, astuteness","induce, provoke"
1,include,"mention, feature, suggest, sumarise, coorporate, prominate, applaude, list, represention, relfect","connote, subverter, unjustifiable, stratergy, preburner, invites, lifespans, villify, disassociate, happened","encompass, involve"
5,incoherent,"jargon-filled, platitudinous, unmeaningful, self-delusional, hopeless, factless, unimpressive, gratuituous, jargon-laden, solipsistic","bring, original, scream, fragment, unhook, overwhelming, legnthy, reexamining, scarcity, undescriptive","unintelligible, disjointed, nonsensical, rambling"
6,incompatible,"restrictive, interference-free, compatible, obsolesence, unsustainable, broadly-accepted, co-extensive, non-reducible, unstandardised, non-romantic","obvious, severely, obliges, bemuse, confirmability, scoff, inflexibility, penalise, fairness, exalted","discrepant, inappropriate, mismatched"
5,incongruous,"noncontentious, ill-proportioned, unattractive, disingeneous, bizarre-sounding, disquieting, unpersuasive, non-ironic, regrettable, curious","vulgar, dictator, monetary, exausted, hamfisted, inexorability, gratify, betoken, deny, ignominous","absurd, incompatible"
6,inconsequential,"un-credible, consequense, obvious, content-less, erroneous, insigificant, unnoteworthy, irrealistic, annoying, unsystematic","expalnation, disagreee, parabola, poorness, trivial, panted, unattractive, graviational, plagiarisms, disagree","meaningless, unimportant, insignificant, irrelevant"
6,incorrigible,"over-entitled, ill-balanced, unadmitted, unrepentent, un-approved, unredeemed, good-willed, mentally-challenged, uncorrupted, uncountered","ineliminable, uninfluenced, fooled, unpersuasively, quotation, undefended, yield, point, historician, schismatic","unrepentant, inveterate"
6,indict,"assume, expose, stablish, demoralize, supppose, problematize, define, denigrate, convincted, defrock","revival, displeased, surreptitious, inference, excitedly, recorrect, estimating, correspond, breed, nobble","prosecute, charge"
4,indifferent,"vindicative, unchallenging, helpless, comfortless, unattentive, ill-at-ease, stoical, afflictive, inconsistent, unmoveable","optimize, facilitatory, internalize, injurious, synchronic, introduction, deigns, ensnare, kinship, vindication","neutral, unbiased, immaterial, uninterested, unconcerned, apathetic"
5,indigenous,"balinese, patagonian, pan-tribal, non-assimilated, alian, ethno-specific, geocultural, non-governmental, ethno-national, mountain-dwelling","beauty, problematic, panicky, lonly, expansive, connectiveness, unconfident, counterexample, relaxed, thematize","aboriginal, native"
5,indiscriminate,"excessiveness, over-hasty, flagrant, ill-written, aggressive, massive, repetitious, over-exuberant, uncontrollable, unneeded","correct, gaslights, placid, steadiness, dauntless, evaluative, bemusing, large, points, youthfulness","unselective, arbitrary"
6,indoctrinate,"islamise, suppress, sterilize, catechize, hi-jack, acculturate, expouse, deify, recruit, sexualise","expession, periodic, dedication, unbiased, intermittently, formulation, conundrum, depressed, pomp, giant","proselytize, brainwash"
5,indolent,"loquacious, artless, dull-eyed, undiscerning, vapid, low-minded, infuriatingly, deplorably, unaggressive, narrow-minded","italicising, frantic, inference, suitable, mimic, inveterately, hellhole, reinserts, aggregative, epiphanic","slothful, lazy"
4,industrious,"practical-minded, good-humored, inventive, progressive-minded, work-people, socially-conscious, clever, unpretentious, tender-hearted, impecunious","concilliatory, underrate, subordinated, throughout, broader, misattribute, tearful, shouted, unhook, frivolous","resourceful, hardworking, enterprising, energetic"
4,inevitable,"unexcusable, over-and, esssential, potentiall, unnecessarilly, unstopable, relentless, stastical, doubling-up, over-easy","intangibles, northmost, shoehorn, virginity, pomp, crafty, reviewee, scandalous, theorization, impartial","imminent, unavoidable"
5,infamous,"little-remembered, less-well-known, flamboyant, idiotic, fabled, ironically-named, too-obvious, vile, too-cool, latest","wanly, documentary, vexatious, detemine, conﬂict, unambivalent, expandability, proceded, discomfited, retrun","notorious, disgraceful"
2,infer,"moralize, detemine, meand, find, learn, stratify, intuiting, misperceive, analyze, indiciate","locket, mesic, deflective, factless, exaggerate, detente, actualisation, unconvincing, belligerent, reiable","derive, deduct, extrapolate, surmise"
3,influence,"devleopment, strenghtening, imporance, increase, out-side, funk-influenced, impluse, attractivity, secularise, expeience","specficially, tremendous, ingenuous, retributive, exuberantly, unprocessable, mechanise, definitition, thoughtful, misdirections","sway, impact, clout"
2,inform,"disinforming, appraise, impart, confide, underpin, concerning, admonish, reappraise, confront, de-mystify","falcon, bylines, soulful, mendacious, mismatch, abjure, alarming, obtrusiveness, discsussion, argument","educate, instruct, enlighten"
4,infuriate,"bewilders, incessent, harass, condescend, irritating, chastise, demean, re-assure, enervate, pissed-off","athority, positionality, flamboyant, distingush, locate, remilitarize, snored, append, augmenter, noncommittal","rile, annoy, irk, incense, enrage"
4,inhabitants,"hectors, municpalities, expatriots, majorcans, camp-followers, pupils, martians, habitated, slum-dwellers, handicraftsmen","points, unfathomable, check, true, operationalize, mollified, conventionalist, unapprehended, abreviated, ineffectuality","natives, denizen, citizens"
5,inherent,"ascribable, collectiveness, ownable, insufficiencies, duplicity, ineliminable, over-sensitivity, subtleness, interrelatedness, definitiveness","semiprecious, guilelessness, admits, pithy, detered, goodwill, tremendous, rather, prolife, rambly","intrinsic, innate"
4,initiate,"re-engages, use, automatize, substantiate, invitiation, re-kindle, negotiate, recommit, repropose, suppress","mollified, resisting, protrayal, imperious, manic, masochistic, monopolise, vitriolic, illuminate, refugee","begin, commence"
5,innovation,"extraordinariness, ever-advancing, revolutionizing, self-initiative, risk-driven, individualisation, idea-sharing, partnership-building, popularization, development-focused","sensible, reintegration, mulling, happilly, conventionalised, scarcity, relax, augment, assert, inapplicable","alteration, modification"
2,insert,"extact, fill, re-copy, back-fill, snippit, distingush, containt, personalise, eject, drawtube","unban, assertive, slap, assist, demurring, renounce, admits, durst, subcomponents, panderer","introduce, add, append"
1,insist,"couuld, countinue, therefore, counterargue, unequivically, remenber, disagreed, defiantly, stronlgy, abjure","notabillity, activistic, commit, remoteness, meak, participate, aim, trasfer, negotiate, subjectmatter","assert, contend"
4,inspire,"foment, teach, incited, provokes, prompt, cause, liberate, reflect, incentivize, cultivate","respect, acculturate, fill, ardency, waddled, situation, illicit, bayshore, deflect, nutcase","stimulate, galvanize, energize, motivate, enthuse"
1,instead,"usually, i.e., re-place, nowwhere, seek, subordinately, proceded, eithers, surely, considerately","cherrypick, resilience, unredeemed, decry, fatalist, bioequivalent, snarled, unforgotten, diminishing, minumum","rather, alternatively"
6,insurgent,"counter-isil, al-qaeda-affiliated, qaeda-style, militiamen, isis-style, al-qaeda-inspired, surge, independentist, militiary, pro-secession","speculation, wordiness, misogynic, unharmonious, explicit, proof, impassive, rebelious, disinforming, warm","subversive, rebel, seditious"
6,intangible,"non-valuable, penetrable, money-like, unrealizable, excludable, income-producing, undemonstrable, transitory, esssential, extrinsically","tells, methodological, editorialize, retrospectivity, corroborations, analyzation, decent, protest, noncredit, dramaturgy","nonphysical, ethereal, abstract"
4,integrate,"better-integrated, well-integrated, reshape, reconceive, re-develop, reinforce, reintroduce, incoporate, re-unify, re-configure","preburner, pregancy, signages, sleepy, reoccurrence, collaboration, differenciate, expectant, preliminarily, eduacation","mix, combine, unify"
6,integrity,"decisiveness, factuality, comfortability, transparence, activeness, compromising, courageousness, essentiality, implicitness, respectibility","websource, savage, putrescible, habituation, assuage, calibrating, committed, been, hardline, commends","honesty, rectitude"
2,intelligent,"strong-willed, enlightened, literate, sapient, enthusiastic, science-minded, on-the-edge, genial, unaggressive, tech-minded","elide, efffect, temporising, calibrating, depict, converge, reak, unknowledgeable, qualified, implement","smart, perceptive"
5,intercede,"reassume, implores, attmept, forbear, seeks, self-immolate, re-gain, re-argue, pervent, re-raise","inflect, swear, grimaced, refuted, hungry, predefine, infiltrate, recover, trudged, analoguous","arbitrate, mediate"
5,interpret,"follow, actualise, particularize, differentiate, over-generalize, reify, contemporize, dramatize, essentialize, objectify","remainder, sidled, slay, comical, stepped, sented, unharmonious, multistep, tbey, very","understand, evaluate, translate, analyze"
4,interrogate,"probe, penetrate, investigates, delve, recontextualize, perrogative, assimilate, waylay, detains, tyrannize","method, backwardation, successive, crisis, conciliations, interjurisdictional, problematize, guesstimate, already, liason","examine, analyze, question, detain"
4,intimidate,"de-legitimise, displease, befuddle, excite, neutralize, penalize, coddle, mesmerise, coercer, outmuscle","copiousness, mythical, tangible, 15years, hide, petulant, absurb, formulating, traceable, damp","browbeat, terrify"
6,intrepid,"technically-minded, half-crazy, gung-ho, uncomplaining, kind-hearted, adventurousness, incautious, admirable, braving, studious","invite, gorgeous, hangdog, excludable, finessed, susceptible, sexualize, references, indignation, clinical","fearless, dauntless, courageous, doughty"
6,intuitive,"rule-driven, un-nuanced, puzzle-like, functional, unaggressive, gesture-based, super-easy, logic-based, simpler, unobtrusive","specificness, confustion, admonishment, geocodes, deform, preventative, rewiew, unvarying, straightforwards, stepwise","visceral, innate, perceptive"
1,investigate,"uncovering, dissimulate, probed, evalute, problematize, witnessess, uncovers, engage, particularize, predict","merciful, defintiion, widespread, metonym, subquestions, conserve, inauguration, strain, lugubrious, homogenise","assess, uncover, explore, analyze,  examine"
2,invitation,"meeeting, condolence, encouragment, dismission, attend, exhortation, urge, letter-box, inauguration, admonishment","mimick, dicey, theologist, ineloquent, suplied, lethargy, evasions, suitable, scheming, subtility",summons
4,irate,"embarassed, jaded, insulted, belligerent, horrified, inebriated, chagrined, mollified, snappish, crabby","engine, analize, climaxed, magnify, contentious, technobabble, unirrigated, chart, animosity, ceate","enraged, incensed, angry, infuriated, indignant, outraged"
4,irrelevant,"inconvenient, prejudicial, problematical, non-issues, ridculous, un-credible, unreliable, unencylcopedic, useles, uneeded","impalpable, soure, nonliving, renforçant, cronological, discovering, contentment, die., dismissiveness, repare","useless, inconsequential, superfluous, meaningless, pointless, inapplicable"
3,irrigate,"water-stressed, water-scarce, vegetate, low-land, liquidise, inundate, water-sensitive, water-purifying, hot-water, rinsate","clarify, brusque, heartlessly, unostentatious, contextual, complusory, bacause, provision, perceptional, subseqent",water
2,irritate,"de-motivate, incapacitate, disrupt, motivate, degrade, soften, complicate, destress, off-put, aggrandize","destabilize, enduringly, fig.1, terrified, remunerative, rectitude, endquote, muttering, noxiously, negative","vex, annoy"
5,isolate,"co-relate, magnify, discredit, exacerbate, antagonise, relativize, banish, de-humanise, particularize, punish","calamitous, dessert, stroppy, defininition, acknowledges, unquote, claify, suppositious, invitiation, compulsivity","ostracize, confine, sequester, marginalize"
1,jealous,"fame-hungry, angry., enrages, displeased, loud-mouthed, hypervigilant, hypocritcal, envies, power-drunk, fame-obsessed","reacquires, envies, buffeting, enourage, tentativeness, candidates, buddie, unbeautiful, exculpating, legalise","envious, resentful, mistrustful"
5,jeopardize,"solidify, increase, incriminate, over-commit, revitalize, dooming, monopolize, legitimize, de-humanize, nullify","ascription, rationalize, lesional, hyphenate, theologist, mischievousness, unimportantly, saddened, rageful, moistening","hamper, imperil, undermine, endanger, undermining"
6,jubilation,"bedlam, gaiety, glumness, bitterness, fervency, hand-clapping, awe, soul-stirring, acclamations, mirthful","personable, unprincipled, complimentarity, adament, uninterrupted, unrealizable, outlay, enthusiast, terrify, farmlands","joy, euphoria, cheering"
6,judicious,"well-disciplined, decent, rigorous, modest, overcautious, nonjudicial, well-articulated, unsparing, well-arranged, ruthless","rigourous, disqualify, asymmetrical, exhort, nonexistant, defang, differet, retrospection, verifing, warlike","wise, sensible"
5,jurisdiction,"registery, remit, sub-province, justiciary, mandation, magistrate, adjudicates, province-level, commonlaw, court-case","decreased, stept, available, overcome, equitable, justifiability, precious, undermind, visiblity, allow","purview, authority, territory"
1,label,"subbrand, plus-sign, branded, eco-labelling, polydor, dischord, dubplate, designate, 18-track, mix-tape","inundate, divine, segregate, side, for, effrontery, considerable, advised, intimation, alterantive","mark, tag"
6,lavish,"ceremonious, pomp, diva-like, razzle-dazzle, grand-scale, luxery, super-stylish, extraordinary, cheap-looking, well-arranged","podgy, disinherit, disbute, adjudge, effervescent, inneffective, deadly, domed, tearful, arrive","ostentatious, opulent, sumptuous, extravagant, glitzy, luxurious"
5,lax,"embarrassingly, secretive, loophole-ridden, over-prescriptive, hands-off, authoritarian, enforcement, inexcusably, inflexibility, loose","editability, poorish, reconcile, cripple, rediscuss, slap, waver, eloquence, websource, emotionalized","slack, lenient, loose, relaxed"
1,leader,"governmant, collaborator, frontbencher, spokesperson, instigator, ruler, vice-speaker, king-making, headman, organiser","watch, disolution, modular, collaborator, unrebuked, coerce, bacause, reely, arduous, devise","chief, head, ruler"
1,leaned,"crept, favored, pointed, snickered, chafed, outreached, cowered, wrenched, backpedaled, seeped","protohistoric, nonrealistic, turned, immediate, valuative, presssure, implicational, recommencing, hardly, honer","tended, tilted"
4,legendary,"tale-telling, famousness, good-times, star-power, semi-celebrity, world-acclaimed, photo-realist, horse-headed, heavy-hitter, new-old","unrecognizable, excerise, ravage, meep, disinclined, coronate, critial, nuancing, oposed, uncharitable","mythical, fabled, famed, mythic"
4,liaison,"consul-general, exective, executive, trouble-shooter, co-leadership, cross-division, sub-agency, policy-maker, representative, officership","begin, recognition, pithy, disdainful, reasons, parade, disillusioned, acquire, imigrant, infiltrate","coordinator, link,contact"
4,libel,"incrimination, tresspass, sue, criminal, republication, plagiarisms, re-publication, infringements, tabloids, blatent","demonstration, destroy, disinforming, officiousness, chastize, etymological, briefer, vulture, disparity, dissimilar","defamation, slander"
1,list,"repsective, sub-entry, infoxbox, taxbox, check-boxes, watch-listed, wait-list, watchlist, to-do, guestlist","rematerialize, stare, excerpts, wearied, wained, ridculous, fascinate, recommencing, injustice, neutralise","account, lean, tilt"
1,listen,"persume, appriciate, askign, empathize, help--and, out-shout, heareth, re-record, sound-check, rev-up","unknowledgeable, urbanise, licensee, brazen, stablise, pointless, scampering, addresser, unlogical, paradoxalement","hear, heed"
6,listless,"faltering, mediocre, distracted, disoriented, lamentably, hangdog, dazed, monotonous, manic, bad-tempered","anyhing, affability, proliferate, simplistic, responsible, agregate, collect, enable, compentent, laudatory","dull, dispirited, insipid, lethargic, sluggish"
1,living,"souling, family-supporting, sea-dwelling, nomadically, renound, parasiting, back-garden, plant-life, high-living, lifestyle","permissibility, martians, ancestry, illustrious, quash, depth, unpredicted, neednt, supress, americanize","existing, job"
3,lofty,"buddha-like, ineffable, country-like, sky-scraping, vain-glory, narrow, lowish, sky-line, curtain-like, dome-like","untroubled, inaccurate, survive, modulate, exult, contrariness, wilfulness, inside, inconsistent, conscious","exalted, eminent, towering, elevated, noble"
6,longevity,"handiness, stature, upgradability, reliabilty, incorruptibility, extensiveness, immortalization, solidness, wellbeing, editability","protists, nonpunitive, bloviate, postpone, find, fatuous, represention, depressed, windspeed, preferance","lifespan, permanence, durability"
1,lovely,"unspoilt, not-quite, sweetly, restful, cool, bloomy, sparkly, well-loved, well-wrought, quiet","disinforming, suvs, update, estuarial, recognize, disrespectful, governmant, enourage, forceable, sleep","delightful, charming, graceful"
5,lucrative,"highflying, well-advertised, market-like, commmercial, highly-targeted, cash-only, tax-break, succcessful, ultracompetitive, multibillion-pound","noncredit, perfect, spiney, rememer, casual, besides, unremitting, recommendation, begrudging, gashes","profitable, moneymaking"
4,ludicrous,"merit-less, presumptuous, contemptible, ghastly, inexplicable, ill-thought, hilarous, unlogical, grandious, unfounded","favorable, finally, organology, eduacation, selfconfidence, compare, pedagogic, unskilful, impartiality, inexorability","laughable, bizarre"
4,mandatory,"complusory, fixed-penalty, super-strict, restriction, auto-safety, slap-on-the-wrist, restrictive, court-issued, pre-initiation, up-or-out","esssential, disenchantment, jusify, militiary, overbear, newname, salience, bemusing, thwarting, purgative","required, requirement"
3,manipulate,"preserve, motivate, modulate, affect, induce, de-motivate, reconfigure, differentiate, analyse, navigate","crossing, foments, crossable, pregancy, chastisement, counterflow, watch, objectify, unremitting, stubborn","distort, alter, modify, subvert, exploit"
1,march,"waling, paraded, post-battle, mobilizations, westward, hartal, saunter, d-day, demarchy, remobilize","quoteable, incapacitate, presentation, recruite, pliant, nontraumatic, thwacked, euphonic, discrepency, difficult","parade, rally"
2,marine,"watercraft, tuna-fishing, inter-oceanic, aquamarine, algae-based, coral, sea-port, landlubber, submariner, water-dwelling","enourage, sexualize, readaptation, corequisite, coexpression, formal, beguiling, wavery, assist, remark","oceanic, naval"
3,massive,"politically-inspired, dramatical, heavy-looking, major, non-consequential, horrible, over-sized, endless, extraodinary, cgi-heavy","vile, egalitarian, knowledgable, civlization, heartless, satisfied, confrontation, cliched, infatuated, revitalise","gigantic, enormous, colossal, huge"
1,matter,"issues--and, resonse, proceeed, commnity, particularise, dipsute, substanciate, pertain, irrlevant, course","discomfited, repped, disbelieve, repercussions, exultation, pandang, insusceptible, theorizes, concurrent, nicest","issue, subject"
2,maximum,"no-effect, initial, time-limits, higher, durational, incremental, limitative, 25-degree, finite-size, load-following","probe, disgree, extremely, chasten, adifferent, disolution, luminous, jollier, undeniable, high","limit, utmost"
6,meager,"uneven, lacklustre, lower-than-average, unimaginative, fewness, feebler, not-so-humble, poorness, less-than-optimal, nonexistant","citation, jusify, onlyinclude, thrill, drift, revoke, critique, hear, totality, observable","dismal, scant, skimpy, paltry"
6,meander,"offput, unmown, seep, thrum, swirl, sloughs, way-marked, upsweep, strum, counterflow","workaround, pursuasive, invigorate, thereafter, guffaw, restrospective, drop, unredeemed, unjustifiable, trying","amble, dawdle, ramble"
1,measure,"gauge, simulating, formulating, predicating, cost-estimating, generating, redefining, communicating, managing, quantiative","embitterment, tyrant, collectivise, gynormous, suppressed, shrewdness, disimilar, uncapable, processess, dissaprove","appraise, value, assess, evaluate"
5,mediate,"facilitatory, backchannel, appeciate, disputant, under-stand, comunicate, relate, negociation, sensitise, de-escalating","insinuate, convulse, retainage, whack, neednt, tenacious, immense, alleviation, curvilinear, rebuke","intercede, resolve"
2,mend,"patching, entend, intermit, couuld, re-place, re-prove, calrify, perseverate, regenerate, suggest","sycophantic, communist, quoteable, technology, aim, enounced, stunningly, extoll, prognosticating, peerless","rectify, repair"
4,merge,"amalgamating, redirect, redirections, stub-article, re-naming, propose, cleanup-rewrite, re-list, restructure, de-tag","contemporary, joyful, monopolise, inundate, priceless, correctitude, jape, thoughtfulness, boxercise, beach.","coalesce, blend, immix, combine, commingle, meld, mix"
5,meticulous,"well-edited, self-critical, time-efficient, cool-headed, unflashy, excellent, no-nonsense, note-perfect, carefully-designed, pragmatic","commecial, sumed, differentiate, careful, stoical, destine, intransigent, revert, relfect, misrepresenting","exacting, thorough, painstaking, diligent, careful"
2,minimum,"fair-share, highish, length, near-ideal, time-in, exceedence, maxsize, six-degree, discretional, approximability","irascible, reject, endear, disgust, thriller, cavorted, approximability, deceptiveness, weary, outgrow","smallest, slightest"
1,miserable,"characterless, bootless, poorish, abominable, insipid, pitiably, damned, happy-sad, life-sapping, manful","concpet, adaptable, hardline, invent, plaint, disuade, attend, portentious, unbiassed, fascinate","piteous, pathetic, abject, wretched"
4,mitigate,"catalyze, promote, confront, elucidate, radicalize, alleviation, proactively, monetize, fortify, intensify","refuting, hostilities, staying, endorsment, truculent, subjectmatter, executive, exuberant, interational, jusify","lessen, reduce, minimize, counteract"
4,modify,"determine, revalidate, temporize, changes, synchronize, re-initiate, standardize, re-obtain, re-word, functionalize","particular, remind, sloppy, glimpse, aligned, countersue, emphatic, swarm, locate, hinterland","alter, reshape, revise"
1,moist,"friable, semi-dark, heat-, spiney, scrub-shrub, phosphorus-rich, drying, subtropical, dried-out, humidity-controlled","jabbed, embarrassed, especial, conceiveable, trasfer, calamitous, enfore, similarities, special, professionalize","humid, damp, wet"
5,mortify,"discombobulate, enrapture, cumber, innoculate, familarize, meliorate, predestinate, supplicate, confute, recongize","conundra, frustration, throughout, relinquish, conlude, dissolve, regionalization, phony, shuddering, uncorrupted","humiliate, chagrin"
2,multiply,"re-defined, decimalized, many-fold, scarified, adjugate, synergize, restabilize, differentiate, denominate, iteratively","heareth, outrageous, unrecognizable, reverent, mentioned, ancedote, narrative, suffocates, shortage, valueable","proliferate, grow, reproduce"
1,mumble,"sneery, incoherant, plain-speak, blubbing, meep, guffaw, chucklehead, subliterate, technobabble, mis-heard","publish, vindicate, overemphasize, authoritarian, spurious, vary, cognoscente, dialation, camry, discusson","mutter, babbled"
6,mundane,"non-routine, unshowy, uneventful, real-world, uncontentious, tiresome, mind-numbingly, baffling, etherial, non-germane","shamefaced, shellshocked, prefacing, lifeline, smartly, intrinsic, effect, young, life, particular","prosaic, humdrum, banal, everyday, routine"
4,mutiny,"court-martials, mass-suicide, self-betrayal, fomenting, robbery, rebel, gruesomeness, protrayal, anti-coup, firing-squad","invitiation, unnameable, subamendment, mindframe, unpretentious, illusional, antediluvian, husbandman, aid, succumb","insurrection, revolt, riot, insubordination, rebellion"
4,naive,"worldly-wise, unsavvy, inexperienced, irrationalist, obsurd, cold-hearted, egotistic, ludicrous, childlike, unambitious","awe, preapprove, crafty, extoll, undisguised, equivlent, unhistoric, coincide, tabloids, similary","unsophisticated, simple, ignorant"
3,narrate,"eulogize, personate, chronicled, sensationalise, storie, romanticise, transfix, discover, romanticize, story-writing","clearence, penetrate, hideousness, swagger, control, hold, answer, embittered, dumbfounded, astounds","recount, tell, recite"
